County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1
US (SEER+NPCR)(1),0.0,***,125.9 ,125.7, 126.2,N/A , N/A , N/A,244411,rising,0.3 ,0.1, 0.5
"Fallon County, Montana(6)",30025.0,***,242.6 ,144.6, 382,N/A , 1 , 33,4,*,*,*,*
"Greer County, Oklahoma(6)",40055.0,***,234 ,163.6, 326.4,N/A , 1 , 20,8,stable,39.4 ,-12.0, 120.8
"Monona County, Iowa(7)",19133.0,***,220.3 ,165.2, 288.6,N/A , 1 , 37,14,rising,2.1 ,0.2, 4.1
"Shelby County, Missouri(6)",29205.0,***,214.1 ,149.9, 297.6,N/A , 1 , 69,9,stable,4.0 ,-0.9, 9.0
"Warren County, Georgia(7)",13301.0,***,212.9 ,147.5, 298.9,N/A , 1 , 100,8,*,*,*,*
"Pickens County, Alabama(6)",1107.0,***,212.5 ,175.4, 255.3,N/A , 1 , 6,26,rising,5.7 ,2.2, 9.3
"Phelps County, Nebraska(6)",31137.0,***,200.2 ,149.7, 263.1,N/A , 1 , 33,12,stable,1.8 ,-4.1, 8.0
"Williamsburg City, Virginia(6)",51830.0,***,196.4 ,151.1, 251.9,N/A , 1 , 83,15,stable,1.3 ,-1.9, 4.6
"Nantucket County, Massachusetts(7)",25019.0,***,192.2 ,145.1, 250.1,N/A , 1 , 9,12,stable,0.3 ,-1.8, 2.5
"Union County, Florida(6)",12125.0,***,190.2 ,141.5, 250.1,N/A , 1 , 38,11,stable,1.6 ,-2.2, 5.5
"Mills County, Iowa(7)",19129.0,***,183.7 ,146.4, 228.3,N/A , 1 , 45,18,stable,0.3 ,-1.2, 1.8
"Lee County, Arkansas(6)",5077.0,***,181.1 ,131.1, 244.8,N/A , 1 , 52,10,rising,15.9 ,7.8, 24.6
"Kingsbury County, South Dakota(6)",46077.0,***,180.9 ,121.8, 262.3,N/A , 1 , 36,7,stable,3.8 ,-1.3, 9.2
"Grundy County, Missouri(6)",29079.0,***,178.5 ,131.6, 236.7,N/A , 1 , 76,12,stable,4.0 ,-1.1, 9.4
"Tillman County, Oklahoma(6)",40141.0,***,174.3 ,123.1, 240.6,N/A , 1 , 57,9,stable,3.5 ,-2.2, 9.5
"Harrison County, Iowa(7)",19085.0,***,173.7 ,137, 217.9,N/A , 1 , 65,17,stable,1.2 ,-0.1, 2.4
"Torrance County, New Mexico(7)",35057.0,***,173.4 ,135.6, 219,N/A , 1 , 10,17,rising,2.5 ,0.5, 4.6
"Guadalupe County, New Mexico(7)",35019.0,***,173.4 ,101.9, 277,N/A , 1 , 29,4,*,*,*,*
"Warren County, Illinois(6)",17187.0,***,173.1 ,136.3, 216.8,N/A , 1 , 80,17,stable,2.9 ,-1.1, 7.1
"Essex County, Virginia(6)",51057.0,***,172.6 ,132, 222.7,N/A , 1 , 108,14,rising,4.7 ,0.6, 9.0
"Owyhee County, Idaho(7)",16073.0,***,171.8 ,129, 224.8,N/A , 1 , 24,12,rising,4.2 ,0.4, 8.2
"Cavalier County, North Dakota(6)",38019.0,***,170.5 ,89.7, 291.6,N/A , 1 , 30,4,stable,-0.6 ,-6.9, 6.1
"Bullock County, Alabama(6)",1011.0,***,170.3 ,122.8, 230.2,N/A , 1 , 61,10,stable,2.1 ,-0.7, 5.1
"Rosebud County, Montana(6)",30087.0,***,169.7 ,121.3, 231.4,N/A , 1 , 35,9,stable,4.3 ,-1.3, 10.2
"Scott County, Illinois(6)",17171.0,***,169.5 ,115.9, 243.3,N/A , 1 , 99,7,stable,1.1 ,-4.2, 6.6
"Stillwater County, Montana(6)",30095.0,***,168.2 ,124.4, 224.3,N/A , 1 , 29,11,stable,1.4 ,-3.3, 6.4
"St. James Parish, Louisiana(7)",22093.0,***,167.6 ,137.7, 202.5,N/A , 1 , 32,24,rising,3.9 ,1.7, 6.3
"Ford County, Illinois(6)",17053.0,***,167.6 ,131.3, 211.8,N/A , 1 , 83,16,stable,2.2 ,-0.8, 5.3
"Sargent County, North Dakota(6)",38081.0,***,167.5 ,96.3, 272.8,N/A , 1 , 30,4,stable,3.9 ,-3.5, 11.8
"Cooper County, Missouri(6)",29053.0,***,167.5 ,132.8, 208.8,N/A , 1 , 64,18,stable,2.1 ,-1.1, 5.4
"Oneida County, Wisconsin(6)",55085.0,***,167.3 ,144.2, 193.5,N/A , 1 , 30,47,stable,1.6 ,-0.3, 3.4
"Greene County, Illinois(6)",17061.0,***,167 ,131.4, 210.4,N/A , 1 , 80,16,rising,5.2 ,1.1, 9.5
"Palo Alto County, Iowa(7)",19147.0,***,167 ,118.6, 228.8,N/A , 1 , 89,9,stable,0.3 ,-1.5, 2.2
"Wyoming County, New York(7)",36121.0,***,166.8 ,143.4, 193.1,N/A , 1 , 37,40,rising,1.8 ,0.4, 3.3
"Dickey County, North Dakota(6)",38021.0,***,166.8 ,105.8, 251.3,N/A , 1 , 29,5,stable,-1.2 ,-34.3, 48.5
"Latah County, Idaho(7)",16057.0,***,166.6 ,139.4, 197.4,N/A , 1 , 15,29,stable,-9.0 ,-22.4, 6.6
"Brookings County, South Dakota(6)",46011.0,***,166.5 ,136.9, 200.4,N/A , 1 , 24,24,stable,2.6 ,-1.4, 6.9
"Adams County, North Dakota(6)",38001.0,***,165.7 ,87.2, 296,N/A , 1 , 30,3,stable,1.2 ,-5.3, 8.2
"Galax City, Virginia(6)",51640.0,***,165.7 ,114.2, 233.4,N/A , 1 , 123,8,rising,42.2 ,4.4, 93.6
"St. Helena Parish, Louisiana(7)",22091.0,***,164.4 ,119.5, 220.7,N/A , 1 , 59,10,rising,3.5 ,0.6, 6.5
"Boone County, Nebraska(6)",31011.0,***,164.2 ,110.8, 238.2,N/A , 1 , 60,7,stable,2.1 ,-3.5, 8.1
"Vilas County, Wisconsin(6)",55125.0,***,164.1 ,135.4, 198.3,N/A , 1 , 47,32,stable,0.6 ,-1.8, 3.1
